"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Flexispot EG1 Standing Desk Height Adjustable Desk Electric Sit Stand Desk 48 x 24 Inches Home Office Desks (White Frame + Maple Top)","B08N5ZY8RT","FLEXISPOT","$249.99","1,503","375,734.97","12,374","$74.45",2,4.4,1174,6,297,"FlexiSpot","Home & Kitchen","Medium Oversize","FBA","18.0x51.0x10.0",72.75,"11/11/2020"
"Electric Height Adjustable Standing Desk, 55 x 28 inches Stand up Desk, Sit Stand Home Office Table (Oak Top/White Frame)","B08GPGRR5M","MONOMI","$339.99",735,"249,892.65","94,495","$85.40",3,4.5,1201,6,26,"Monomi","Home & Kitchen","Medium Oversize","FBA","19.7x30.0x10.0",78.00,"10/22/2020"
"FEZIBO Electric Height Adjustable Standing Desk with Drawer, 55 x 24 Inches Splice Board, Black Frame/Rustic Brown Top","B08D74BP3C","FEZIBO","$284.99","1,826","520,391.74","10,714","$72.62",4,4.5,4426,9,135,"FEZIBO","Home & Kitchen","Small Oversize","MFN","14.0x58.0x9.0",68.00,"7/18/2020"
"Standing Desk Electric Height Adjustable Desk - Aludest Quick Install Computer Desk 47.2 x 23.6 Inches Sit Stand Desk (Black Frame + Black Top).…","B08TLK4W9J","Aludest","$129.99",194,"25,218.06","123,063","$47.16",2,4.1,69,5,13,"Aludest","Home & Kitchen","Small Oversize","FBA","15.7x49.2x7.9",50.71,"1/21/2021"
"farexon Electric Standing Desk Adjustable Height, 48”x 24‘’ Sit Stand Desk with Double Crossbeam Structure, Four Preset Heights, Current Protection Function, 27''-45'' Lifting Range Stand up Desk","B0952WRMNH","farexon","$159.59",646,"103,095.14","74,157","$57.30",1,4.8,62,8,16,"Yorongya","Home & Kitchen","Small Oversize","MFN","14.0x51.0x7.5",65.75,"5/17/2021"
"imlib Height Adjustable Electric Standing Desk, 60"" x 24"" Sit Stand Desk Home Office Workstation with Drawer, Memory Preset Computer Desk (Black Frame + Walnut Desktop)","B0962TT58V","imlib","$299.99",24,"7,199.76","351,909","$76.72",1,"n/a","n/a",7,0,"Dake US Products","Home & Kitchen","Medium Oversize","FBA","14.5x61.5x7.0",66.00,"7/16/2021"
"SHW 36-Inch Height Adjustable Standing Desk Sit to Stand Riser Converter Workstation, Black","B08MHTR2TF","SHW","$109.97","1,682","184,969.54","3,653","$40.36",1,4.6,320,8,33,"EPFamily Direct","Office Products","Small Oversize","FBA","25.5x38.5x5.5",39.10,"11/2/2020"
"Flexispot Quick Install Standing Desk EC9 Electric Height Adjustable Desk for Home Office 48 x 24 Inches Sit Stand Desk Whole-Piece Desk Board VICI(White Frame + 48"" White Top)","B08KXW53KY","FLEXISPOT","$299.99",451,"135,295.49","115,099","$82.18",6,4.7,1286,8,30,"FlexiSpot","Home & Kitchen","Medium Oversize","FBA","29.0x51.0x7.0",80.00,"10/9/2020"
"FEZIBO Triple Motor L-Shaped Electric Standing Desk, 63 inches Height Adjustable Stand up Corner Desk, Sit Stand Workstation with Splice Board, Black Frame/Rustic Brown Top","B08N4PLY1X","FEZIBO","$569.99",371,"211,466.29","66,858","$122.05",2,4.5,68,9,5,"FEZIBO","Home & Kitchen","Medium Oversize","MFN","30.0x39.0x7.5",112.44,"11/10/2020"
"FLEXISPOT 32 inch Standing Desk Converter | Height Adjustable Stand Up Desk Riser, Black Home Office Desk Workstation for Dual Monitors and Laptop M732","B08GR1GR9T","FLEXISPOT","$139.99","9,254","1,295,467.46",472,"$43.72",5,4.8,8083,7,389,"FlexiSpot","Office Products","Small Oversize","MFN","20.2x34.7x7.5",35.25,"5/15/2020"
