"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"SUNPOW Pull Up Assistance Bands - Set of 5 Resistance Heavy Duty Workout Exercise Crossfit Stretch Fitness Bands Assist Set for Body, Instruction Guide and Carry Bag Included","B07K1823XB","SUNPOW","$39.99","2,940","117,570.60","1,165","$11.68",6,4.7,5018,7,114,"SUNPOW US","Sports & Outdoors","Large Standard-Size","FBA","5.8x11.0x2.5",2.78,"10/30/2018"
"ULTRA ACTIVE Resistance Bands Fabric for Legs and Butt, Booty Bands Non Slip Workout Bands, Exercise Bands, Home Exercise Bands, Hip Resistance Bands - Includes Mesh Bag and Cooling Towel","B08L27WM1C","ULTRA ACTIVE","$10.49",389,"4,080.61","16,378","$6.52",1,4.7,317,6,38,"M & A Creations","Sports & Outdoors","Large Standard-Size","FBA","5.5x9.8x2.8",0.99,"10/24/2020"
"Whatafit Resistance Bands Set (11pcs), Exercise Bands with Door Anchor, Handles, Carry Bag, Legs Ankle Straps for Resistance Training, Physical Therapy, Home Workouts","B07DWSPQQY","Whatafit","$24.97","9,423","235,292.31",402,"$9.43",5,4.6,25018,6,434,"WHATAFIT","Sports & Outdoors","Large Standard-Size","FBA","6.7x8.0x4.5",2.45,"6/21/2018"
"Altair Fitness Yoga Mat Storage Wall Mount Rack, Foam Roller and Towel Rack with 3 Hooks for Hanging Yoga Straps and Resistance Bands at Home Gym and Studio, 3-Tiered Metal Design","B08JYN7YVH","Altair Fitness","$19.95",67,"1,336.65","43,639","$8.67",1,4.5,53,9,0,"Glide Supply","Sports & Outdoors","Large Standard-Size","FBA","8.3x17.6x1.8",2.20,"9/24/2020"
"Whatafit Pull Up Assist Bands Resistance Stretch Band for Men and Women, Assistance Band for Exercise, Chin Ups, Powerlifting, Training, Gyms, Mobility Home Fitness (Set of 4)","B07DPNNDX4","Whatafit","$29.99","2,100","62,979.00","2,804","$10.18",4,4.7,3131,7,113,"WHATAFIT","Sports & Outdoors","Large Standard-Size","FBA","6.2x10.8x2.9",2.45,"6/13/2018"
"Resistance Bands Set Workout Bands，8-in-1 Ab Wheel Roller Kit with Knee Pad,Push Up Bars,Hand Grip Strengthener,Jump Rope,Home Gym Workout Exercise Equipment for Men Women","B08B5DQXP6","MAITREYA","$39.99",222,"8,877.78","29,865","$13.18",2,4.4,121,7,7,"MingWeiTengDa","Sports & Outdoors","Large Standard-Size","FBA","9.6x13.9x7.6",6.08,"9/7/2021"
"Double Circle Gym Rack Organizer, Multi-Purpose Workout Gear Wall Rack Hanger for Home and Pro Gym Storage for Exercise Bands, Jump Ropes, Chains, Lifting Belts","B083KJB9DC","Double Circle","$39.97",279,"11,151.63","28,097","$11.98",7,4.8,416,6,17,"Double Circle","Sports & Outdoors","Large Standard-Size","FBA","5.5x17.5x3.5",3.45,"10/7/2021"
"Sunsign Bench Press Bands, Resistance Band Push up aid Exercise Equipment, Adjustable Bench Press, with Slip-Resistant Comfortable Grip, for Home Gym Men and Women Muscles Chest Workout","B07VNS4DL2","Sunsign","$39.99",145,"5,798.55","97,651","$11.68",1,4.2,255,7,8,"Sunsign","Sports & Outdoors","Large Standard-Size","FBA","5.8x16.0x4.0",2.15,"11/17/2020"
"Valor Fitness Resistance Cords - Heavy Resistance Bands with Handles and Anti-Snap Protective Nylon Tube Bands Sleeves, Stackable Heavy Duty Resistance Tube Set with Wall, Rack and Door Anchor System Options","B087MZ33HT","Valor Fitness","$79.98",89,"7,118.22","87,345","n/a",1,4.6,33,7,0,"Valor Fitness","Sports & Outdoors","n/a","MFN","n/a","n/a","5/14/2020"
"MyGift Wall Mounted Black Metal Sports Fitness Center Gym Equipment Organizer Hooks Rack for Resistance Bands, Jump Ropes, and Weight Belts","B08B45M6XL","MyGift","$19.99",35,699.65,"251,574","$8.94",1,4.7,53,7,1,"MyGift","Sports & Outdoors","Large Standard-Size","FBA","3.5x16.4x2.5",1.12,"6/12/2020"
"Amazon Basics Resistance and Pull Up Band","B01FN7XCZ4","Amazon Basics","$15.49","1,149","17,798.01","6,340","$5.96",2,4.6,7391,8,35,"Amazon","Sports & Outdoors","Large Standard-Size","FBA","7.6x9.3x1.8",0.66,"3/18/2020"
"The Ultimate Premium Full-Workout Resistance Bands Set | Exercise Bands kit and Pull up Bands for Home Workout | for Full Body Workouts with Handles & Bar – “Bring The Gym Home for Men & Woman","B08DHMZB9R","kobra tech","$69.80",248,"17,310.40","18,022","$16.75",3,4.4,430,6,22,"N.c tech trade groupe","Sports & Outdoors","Large Standard-Size","FBA","12.0x12.1x3.1",4.63,"11/19/2020"
"OPTP Resistance Band Wall Anchors by Bob and Brad: Space Saving Wall Mount Clips for Home Gym Workouts | for Strength Training, Fitness, and Physical Therapy Exercise (4036)","B078WFFWR8","OPTP","$36.95",588,"21,726.60","13,184","$9.02",2,4.7,1335,8,26,"OPTP","Sports & Outdoors","Large Standard-Size","FBA","7.1x9.6x2.4",0.53,"1/8/2018"
"4KOR Fitness Power Rack Straps, Compatible with 4KOR Resistance Cords, 2 Power Rack Straps (1 Pair)","B086M7NF37","4KOR Fitness","$19.95",23,458.85,"138,946","$6.46",1,4.7,8,2,0,"Prime Product Solutions","Sports & Outdoors","Large Standard-Size","FBA","6.6x8.7x1.9",0.33,"3/31/2020"
"Resistance Cord Set by 4KOR Fitness, with Protective Nylon Sleeves, Handles, Anchors, and Carrying Bag. Perfect for Dynamic Warmups, Crossfit, and Rehab","B074T53Y8Z","4KOR Fitness","$164.95",119,"19,629.05","102,836","$32.44",2,4.7,277,9,2,"Prime Product Solutions","Sports & Outdoors","Large Standard-Size","FBA","12.2x13.5x6.9",7.30,"10/3/2017"
"CANWAY Pull Up Bands - Set of 4 - Resistance Bands - Premium Latex Loop Stretch Workout/Exercise Band Mobility & Powerlifting Assist Bands for Body Fitness Training (Set of 4 Bands)","B076FZ6LYZ","CANWAY","$28.99",398,"11,538.02","44,815","$11.02",1,4.7,2244,8,11,"Crdc","Sports & Outdoors","Large Standard-Size","FBA","5.6x10.9x2.7",2.32,"10/14/2017"
"ZAEO Gym Organizer for Fitness Bands, Foam Rollers, Jump Rope Rack - 7 Prong (mounting Hardware Included)","B08D7YHXDK","ZAEO","$28.99",64,"1,855.36","274,271","$10.02",1,4.7,71,7,3,"Eagle & Twine LLC","Sports & Outdoors","Large Standard-Size","FBA","5.1x17.6x4.5",2.97,"7/18/2020"
"Boss Fitness Products - Extra Large Heavy Duty Door Anchor - Great for Resistance Bands, Physical Therapy Bands, and Closed Loop Bands","B01967FCF0","Boss Fitness Products","$10.99","1,083","11,902.17","7,369","$5.12",1,4.7,4392,4,46,"BOSS Enterprise","Sports & Outdoors","Large Standard-Size","FBA","3.0x6.2x2.4",0.10,"12/10/2015"
"Leopold&toby Tool Gym Storage Rack,Gym Rack Organizer, Weight Rack,Barbell Wall Mount Multi-Purpose Hanger Fitness Rack for Workout Bands Jump Ropes Yoga Foam Roller Belts Fitness/Gym Accessories","B08QZH7WYF","Leopold&toby Tool","$27.99",93,"2,603.07","191,847","$9.88",1,4.8,57,6,6,"Leopold&toby","Sports & Outdoors","Large Standard-Size","FBA","5.5x17.8x2.2",2.09,"5/28/2021"
"Coat Rack Wall Mounted,Heavy Duty,Wall Hooks Rack Organizer for Hanging Coat,Hat,Towel,Bag,Robe,Key,6 Sliding Hooks,Black Matte Finish","B07Y2CCNHY","K KAREZOG","$16.99",261,"4,434.39","100,727","$7.50",1,4.5,885,7,11,"KAREZOG","Home & Kitchen","Large Standard-Size","FBA","2.4x16.9x2.2",1.30,"9/18/2019"
"Iron Infidel Pull Up Assistance Bands for Working Out - Resistance Bands Set for Men, Exercise, Workout, Fitness, Strength, Weightlifting, Training, Powerlifting, Stretch, Crossfit WOD","B081F25FYP","Iron Infidel","$69.95","1,366","95,551.70","6,394","$16.47",1,4.8,3887,9,69,"Iron Infidel","Sports & Outdoors","Large Standard-Size","FBA","8.9x12.6x3.7",3.65,"7/14/2021"
"LEEKEY Resistance Band Set, Pull Up Assist Bands - Stretch Resistance Band - Mobility Band Powerlifting Bands For Resistance Training, Physical Therapy, Home Workouts (Set-4)","B07DR9BT5G","LEEKEY","$25.48","2,798","71,293.04","4,257","$9.50",3,4.7,6923,6,72,"LEEKEY DIRECT","Sports & Outdoors","Large Standard-Size","FBA","6.2x10.8x3.0",2.45,"6/14/2018"
"($) Resistance Band Rack Band Storage Hanger Gym Equipment Organizer Pull Up Bands Rack Resistance Bands Rack Jump Ropes Rack Storage Rack for Home Gym","B09CZ2GL2N","Lovind","$17.99",9,161.91,"118,721","$7.65",1,"n/a","n/a",6,0,"Lovind","Sports & Outdoors","Large Standard-Size","FBA","8.6x10.6x2.0",1.28,"8/18/2021"
"($) Golden City Resistance Bands Set(11pcs) Strength Training Muscle Training","B08M5ZJMRV","Golden City","$15.99",1,15.99,"384,475","$8.08",1,"n/a","n/a",6,0,"CHENGUANG","Office Products","Large Standard-Size","FBA","8.3x10.4x4.0",0.95,"10/29/2020"
"($) Bodylastics Anti-SNAP Warrior Edition Resistance Band Sets Come with 6 or 8 Exercise Tubes, Heavy Duty Components, a Small Anywhere Anchor and a Bag.","B006O0GDMO","bodylastics","$87.97",299,"26,303.03","24,280","$24.52",2,4.7,1058,8,10,"BODYLASTICS USA Inc.","Sports & Outdoors","Small Oversize","FBA","10.0x10.0x10.0",6.70,"7/7/2020"
"($) Anchor Gym R7 Seven Prong Storage Rack for Fitness Bands, Straps, Jump Ropes, Foam Rollers (Wood Screws Included)","B079ZJVMMG","Anchor Gym","$39.95",80,"3,196.00","114,655","$11.67",5,4.8,442,5,3,"Core Energy Fitness","Sports & Outdoors","Large Standard-Size","FBA","4.6x17.5x2.4",2.45,"9/2/2014"
"($) Leopold&toby Tool Gym Storage Rack,Gym Rack Organizer, Weight Rack,Barbell Wall Mount Multi-Purpose Hanger Fitness Rack for Workout Bands Jump Ropes Yoga Foam Roller Belts Fitness/Gym Accessories","B08QZH7WYF","Leopold&toby Tool","$27.99",93,"2,603.07","191,847","$9.88",1,4.8,57,6,6,"Leopold&toby","Sports & Outdoors","Large Standard-Size","FBA","5.5x17.8x2.2",2.09,"5/28/2021"
