"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Cq acrylic 15"" Invisible Acrylic Floating Wall Ledge Shelf, Wall Mounted Nursery Kids Bookshelf, Invisible Spice Rack, Clear 5MM Thick Bathroom Storage Shelves Display Organizer, 15"" L,Set of 4","B07R4VY8XR","Cq acrylic","$21.99","1,100","24,189.00","18,755","$9.27",1,4.7,3652,6,34,"Cq acrylic","Home & Kitchen","Large Standard-Size","FBA","6.3x16.2x4.9",3.33,"4/24/2019"
"Rustic Farmhouse 3 Tier Floating Wood Shelf - Floating Wall Shelves (Set of 3), Hardware and Fasteners Included (Dark Walnut, 3 Tier)","B07KNBDXM3","Mark One Home Goods","$49.99",369,"18,446.31","59,503","$19.57",1,4.4,2441,6,27,"Mark One Home Goods","Home & Kitchen","Small Oversize","MFN","6.3x24.2x5.9",9.30,"11/17/2018"
"Klvied Floating Shelves Wall Mounted Set of 4, Rustic Wood Wall Shelves, Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More, Brown","B092VK11QQ","Klvied","$27.99","1,037","29,025.63","9,585","$10.48",1,4.4,234,9,-29,"EdenGift","Home & Kitchen","Large Standard-Size","FBA","7.1x17.2x5.9",4.57,"4/19/2021"
"($) Floating Shelves,INOMO Widen Rustic Wood Shelf Wall Mounted Hanging Shelf Real Solid Wood Wall Storage Shelf Set of 2 for Bedroom, Bathroom, Living Room, Kitchen, Photos, Book, Decorations Black","B09G5N8BWN","INOMO","$29.95",4,119.80,"812,370","$10.17",1,"n/a","n/a",7,0,"INOMO Direct","Home & Kitchen","Large Standard-Size","FBA","11.0x17.0x2.0",2.60,"4/7/2021"
"($) Floating Shelves for Wall, SWTYMIKI Rustic Wood Wall Mounted Shelf Set of 2 Farmhouse Storage & Wall Decor Hanging Shelves for Bathroom, Bedroom, Living Room, Kitchen, Office Home Decoration, Black","B09C8H3JN5","SWTYMIKI","$23.99",2,47.98,"365,697","$9.27",1,"n/a","n/a",1,0,"dongge store","Home & Kitchen","Large Standard-Size","FBA","6.3x17.1x3.0",2.50,"8/10/2021"
"($) Floating Shelves Rustic Wood Wall Shelf USA Handmade | Set of 2 (Grey, 15"" x 5.5"")","B0921M33QR","Imperative Décor","$44.97","2,435","109,501.95","5,584","n/a",1,4.5,4366,7,147,"Imperative Décor","Home & Kitchen","n/a","MFN","6.0x24.0x6.0","n/a","9/12/2018"
"Rustic Farmhouse 3 Tier Justified Floating Wood Shelf - Floating Wall Shelves (Set of 3), Hardware and Fasteners Included (Walnut, 24"")","B07Z5FNRTK","Mark One Home Goods","$64.99",687,"44,648.13","48,310","$22.21",1,4.4,2037,8,49,"Mark One Home Goods","Home & Kitchen","Small Oversize","MFN","6.0x25.0x5.0",10.75,"10/23/2019"
"SRIWATANA White Floating Shelves, Wood Storage Wall Shelves Set of 4 Display Ledge Shelves Decor for Bedroom, Living Room, Bathroom, Kitchen - White","B095WN179H","SRIWATANA","$34.99",269,"9,412.31","22,223","$17.71",1,4.5,7,8,0,"SRW USA","Home & Kitchen","Small Oversize","FBA","11.0x25.2x5.1",5.60,"n/a"
"ZGO Floating Shelves for Wall Set of 3, Wall Mounted Storage Shelves with Metal Frame for Bathroom, Bedroom, Living Room, Kitchen, Office","B08DJ1PFKT","ZGO","$28.99",208,"6,029.92","321,442","$10.15",1,4.5,211,6,5,"ZGO K&B","Home & Kitchen","Large Standard-Size","FBA","6.3x17.4x3.7",3.44,"n/a"
"Undereave Floating Shelves, Wall Shelves for Bedroom, Bathroom, Kitchen, Living Room, Rustic Wood Wall Mounted Shelves, Set of 4","B093PML1FM","UNDEREAVE","$23.99",190,"4,558.10","157,875","$10.57",1,4.4,54,7,20,"Undereave","Home & Kitchen","Large Standard-Size","FBA","6.6x17.5x4.8",3.92,"4/28/2021"
"BAOBAB WORKSHOP Wood Floating Shelves Set of 2 - Rustic Shelf 24 inch - Made in Europe - Wide Wooden Wall Shelves for Living Room Bedroom Kitchen Bathroom Farmhouse - Walnut Color - 24"" x 6.7""","B07KKCDQQL","BAOBAB WORKSHOP","$64.99","1,065","69,214.35","14,115","$22.21",1,4.7,1621,7,73,"Baobab Workshop","Home & Kitchen","Small Oversize","FBA","7.0x24.7x2.7",10.40,"11/15/2018"
"SONGMICS Floating Wall Shelf 15.7 inch, Easy Install for Decorative Display Corner Invisible Bracket Support, White ULWS14WT","B076KSCL19","SONGMICS","$19.99",394,"7,876.06","55,545","$8.98",13,4.6,871,9,13,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","7.9x17.3x4.0",2.91,"n/a"
"White Floating Shelves for Wall,Wall Shelves with Camber Yellow Golden Metal Brackets-White Shelves Set of 3 for Bedroom Bathroom Living Room Kitchen (White)","B08TQRXCMY","KURTVANA","$32.99",887,"29,262.13","34,245","$11.77",1,4.5,331,6,23,"KURTVANA US","Home & Kitchen","Large Standard-Size","FBA","8.0x17.5x5.2",6.68,"1/22/2021"
"BAMFOX Floating Shelves Set of 2，Natural Bamboo Wall Shelf Wall Mounted Shelves，Wall Mount Display Rack with Large Storage L23 x W6 for Kitchen Living Room Bathroom Bedroom","B07WRQ9B1B","BAMFOX","$46.98",957,"44,959.86","21,193","$19.51",1,4.4,1251,7,43,"BAMFOX","Home & Kitchen","Small Oversize","FBA","6.2x24.8x3.4",10.45,"8/21/2019"
"Greenco 4 Cube Intersecting Wall Mounted Floating Shelves Espresso Finish","B07D7HQZ76","Greenco","$25.99","1,219","31,681.81","21,131","$10.93",13,4.6,4819,5,103,"Amazon","Home & Kitchen","Large Standard-Size","AMZ","12.9x13.2x5.7",7.65,"5/22/2018"
"ZGO Floating Shelves for Wall Set of 2, Wall Mounted Storage Shelves with Metal Frame and Towel Rack for Bathroom, Kitchen, Bedroom","B087M8DKXQ","ZGO","$24.99","5,307","132,621.93","1,755","$9.73",3,4.6,3211,8,261,"ZGO K&B","Home & Kitchen","Large Standard-Size","FBA","6.4x16.6x3.8",3.64,"4/24/2020"
"Floating Shelves Rustic Wood Wall Shelf USA Handmade | Set of 2 (Light Walnut, 24"" x 5.5"")","B07H8VJ32S","Imperative Décor","$49.97","2,435","121,676.95","5,584","$19.43",4,4.5,4366,7,118,"Imperative Décor","Home & Kitchen","Small Oversize","FBA","6.0x24.3x5.1",7.00,"1/6/2019"
"Melannco Floating Wall Shelves for Bedroom, Living Room, Bathroom, Kitchen, Nursery, Set of 4, Black, 4 Count","B00F2ZI2VC","MELANNCO","$21.60","3,139","67,802.40","4,418","$13.04",12,4.3,14503,10,240,"Amazon","Home & Kitchen","Small Oversize","AMZ","5.0x24.4x4.6",3.15,"n/a"
"Amada Floating Shelves Invisible Wall Mounted 3 Sets, Modern Faux Wood Storage Shelves with Matte Finish, Perfect for Bedroom, Bathroom, Living Room and Kitchen Decoration (Black)","B088ZW8427","AMADA HOMEFURNISHING","$36.99","3,220","119,107.80","4,317","$11.99",2,4.5,1862,9,122,"HappyhomeUS","Home & Kitchen","Large Standard-Size","FBA","8.5x17.0x5.5",5.70,"n/a"
"InPlace Shelving, Espresso Lewis Hyman 9084650 Floating Wall Shelf, 47.24 Inch Wide by 2-Inch High, 47.24 in W x 10.2 in D x 2 in H","B00N1IVZUM","InPlace Shelving","$32.84","7,609","249,879.56","1,418","$19.67",13,4.5,9160,7,311,"Amazon","Home & Kitchen","Small Oversize","AMZ","12.1x50.0x3.8",11.15,"8/26/2014"
"EACHPAI Corner Floating Shelves Wall Mounted Set of 4, Rustic Wood Wall Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More","B093GKYPSX","EACHPAI","$36.99","1,611","59,590.89","5,883","$11.83",1,4.6,284,7,81,"Autobuddy","Home & Kitchen","Large Standard-Size","FBA","11.8x17.6x3.1",4.63,"4/26/2021"
"Willow & Grace Floating Shelves Wood - Live Edge Shelves for Wall Mounted, Modern Rustic All Wood Wall Shelves, Set of 2 for Bedroom, Bathroom, Family Room, Kitchen | Walnut (36"" Set of 2)","B08PDLQY2F","WG WILLOW & GRACE DESIGNS","$80.47","1,219","98,092.93","17,909","$26.43",2,4.5,2297,9,48,"Spreetail","Home & Kitchen","Small Oversize","MFN","7.5x36.5x3.0",15.05,"12/1/2020"
