,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
27,"MAIDeSITe Adjustable Height Electric Standing Desk, Ergonomic Stand Up Desk for Home Office, Sit Stand Desk with 48 x 24 Inch Whole Piece Board, Quick Assembly Adjustable Table, White Frame/Oak Top",B099WSYYWV,MAIDeSITe DeSK,229.99,870.0,200091.3,66975.0,75.18,1,4.3,225.0,8,77.0,MAIDeSITe DeSK,Home & Kitchen,Medium Oversize,MFN,26.2x49.5x8.5,63.9,7/20/2021
28,"Electric Standing Desk, 52 x 28 Inches Whole Piece Desktop, Quick Assembly, Ultra-Quiet Adjustment, Stand Up Desk Black HOD1A",B098KZ71F6,TTKK,179.99,1251.0,225167.49,26911.0,72.23,1,4.4,49.0,7,32.0,Beauty US,Home & Kitchen,Medium Oversize,MFN,29.7x53.3x6.9,84.0,7/3/2021
29,"Vari Electric Standing Desk 72"" x 30"" - Dual Motor Sit to Stand Desk - Push Button Memory Settings - Solid Top with Height Adjustable Steel Legs - Work or Home Office Desk - (Black)",B09BFW3CFT,Vari,795.0,1438.0,1143210.0,12260.0,,1,4.9,1311.0,7,59.0,Vari.,Home & Kitchen,,MFN,,,7/30/2021
30,"Flexispot EW8 Electric Standing Desk with Drawers Height Adjustable 48 x 24 Inches White Desktop and Frame Quick Install Home Office Table w/USB Charging Ports, Storage Desk Organizer",B08SBL81LT,FLEXISPOT,339.99,875.0,297491.25,20057.0,90.47,2,4.6,353.0,6,16.0,FlexiSpot,Home & Kitchen,Medium Oversize,FBA,29.0x49.0x7.0,91.0,1/7/2021
31,"Shintenchi Electric Standing Desk, 63 x 24 Inch Height Adjustable Sit Stand Desk Morder Home Office Stand Up Desk Computer Work Station with Splice Board, (Black Frame + Oak Top)",B091QSCCHC,Shintenchi,299.99,10.0,2999.9,37209.0,79.45,1,4.5,4.0,7,-1.0,Amazon,Office Products,Medium Oversize,AMZ,14.0x66.0x8.0,73.0,
32,"VIVO Standing 32 inch Desk Converter, Height Adjustable Riser, Sit to Stand Dual Monitor and Laptop Workstation with Wide Keyboard Tray, Black, DESK-V000K",B075JYG2TB,VIVO,109.99,4698.0,516733.02,1178.0,39.45,6,4.7,7203.0,9,201.0,V I V O,Office Products,Small Oversize,FBA,19.0x34.5x7.5,28.8,9/11/2017
33,Flexispot EG1 Standing Desk Height Adjustable Desk Electric Sit Stand Desk 48 x 24 Inches Home Office Desks (White Frame + Maple Top),B08N5ZY8RT,FLEXISPOT,249.99,1503.0,375734.97,12374.0,74.45,2,4.4,1174.0,6,297.0,FlexiSpot,Home & Kitchen,Medium Oversize,FBA,18.0x51.0x10.0,72.75,11/11/2020
34,"Electric Height Adjustable Standing Desk, 55 x 28 inches Stand up Desk, Sit Stand Home Office Table (Oak Top/White Frame)",B08GPGRR5M,MONOMI,339.99,735.0,249892.65,94495.0,85.4,3,4.5,1201.0,6,26.0,Monomi,Home & Kitchen,Medium Oversize,FBA,19.7x30.0x10.0,78.0,10/22/2020
35,"FEZIBO Electric Height Adjustable Standing Desk with Drawer, 55 x 24 Inches Splice Board, Black Frame/Rustic Brown Top",B08D74BP3C,FEZIBO,284.99,1826.0,520391.74,10714.0,72.62,4,4.5,4426.0,9,135.0,FEZIBO,Home & Kitchen,Small Oversize,MFN,14.0x58.0x9.0,68.0,7/18/2020
36,Standing Desk Electric Height Adjustable Desk - Aludest Quick Install Computer Desk 47.2 x 23.6 Inches Sit Stand Desk (Black Frame + Black Top).…,B08TLK4W9J,Aludest,129.99,194.0,25218.06,123063.0,47.16,2,4.1,69.0,5,13.0,Aludest,Home & Kitchen,Small Oversize,FBA,15.7x49.2x7.9,50.71,1/21/2021
